time,pitch,roll,label
1736849152,-2,-3,1
1736849152,-2,-3,1
1736849153,-2,-3,1
1736849153,-2,-3,1
1736849153,-2,-3,1
1736849153,-2,-3,1
1736849153,-2,-3,1
1736849154,-2,-3,1
1736849154,-2,-3,1
1736849154,-2,-3,1
1736849154,-2,-3,1
1736849154,-2,-3,1
1736849155,-2,-3,1
1736849155,-2,-3,1
1736849155,-2,-3,1
1736849155,-2,-3,1
1736849155,-2,-3,1
1736849156,-2,-3,1
1736849156,-2,-3,1
1736849156,-2,-3,1
1736849156,-2,-3,1
1736849156,-2,-2,1
1736849157,-3,0,1
1736849157,-3,0,1
1736849157,-3,-1,1
1736849157,-2,0,1
1736849157,-2,2,1
1736849158,-3,3,1
1736849158,-2,1,1
1736849158,-3,-7,1
1736849158,-5,-1,1
1736849158,-3,-2,1
1736849159,-2,-4,1
1736849159,-4,-6,1
1736849159,-4,-6,1
1736849159,-4,-7,1
1736849159,-4,-7,1
1736849160,-4,-7,1
1736849160,-5,-5,1
1736849160,-5,-4,1
1736849160,-5,-3,1
1736849160,-5,-3,1
1736849161,-6,-3,1
1736849161,-7,-4,1
1736849161,-7,-7,1
1736849161,-7,-6,1
1736849161,-7,-4,1
1736849162,-7,-5,1
1736849162,-7,-4,1
1736849162,-6,-3,1
1736849162,-5,-1,1
1736849162,-6,-2,1
1736849163,-7,-4,1
1736849163,-6,-5,1
1736849163,-7,-5,1
1736849163,-8,-4,1
1736849164,-8,-3,1
1736849164,-8,-3,1
1736849164,-7,-3,1
1736849164,-6,-3,1
1736849164,-5,-2,1
1736849165,-5,-2,1
1736849165,-6,-2,1
1736849165,-7,-3,1
1736849165,-7,-3,1
1736849165,-7,-3,1
1736849166,-7,-3,1
1736849166,-8,-6,1
1736849166,-8,-4,1
1736849166,-7,-4,1
1736849166,-6,-4,1
1736849167,-6,-4,1
1736849167,-5,-4,1
1736849167,-5,-4,1
1736849167,-5,-4,1
1736849167,-4,-4,1
1736849216,-2,-3,1
1736849216,-2,-3,1
1736849216,-2,-3,1
1736849216,-2,-3,1
1736849217,-2,-3,1
1736849217,-2,-3,1
1736849217,-2,-3,1
1736849217,-2,-3,1
1736849217,-2,-3,1
1736849218,-2,-3,1
1736849218,-2,-3,1
1736849218,-2,-3,1
1736849218,-2,-4,1
1736849218,-1,-5,1
1736849219,0,-5,1
1736849219,0,-5,1
1736849219,-1,-2,1
1736849219,-1,-2,1
1736849219,-1,-2,1
1736849220,-1,-2,1
1736849220,-3,2,1
1736849220,-3,3,1
1736849220,-6,-1,1
1736849220,-7,-11,1
1736849221,-6,-9,1
1736849221,-3,3,1
1736849221,-4,0,1
1736849221,-5,-2,1
1736849222,-3,0,1
1736849222,-3,-1,1
1736849250,-2,-5,1
1736849250,-2,-4,1
1736849250,-2,-5,1
1736849250,-2,-5,1
1736849251,-2,-5,1
1736849251,-2,-5,1
1736849251,-2,-5,1
1736849251,-2,-5,1
1736849251,-2,-5,1
1736849252,-2,-5,1
1736849252,-2,-5,1
1736849252,-5,-2,1
1736849252,-5,-2,1
1736849253,-2,-7,1
1736849253,1,-7,1
1736849253,1,-10,1
1736849253,5,-7,1
1736849253,2,-10,1
1736849254,2,-18,1
1736849254,4,-25,1
1736849254,4,-34,1
1736849254,1,-34,1
1736849254,-4,-33,1
1736849255,-4,-28,1
1736849255,-4,-24,1
1736849255,-7,-20,1
1736849255,-11,-13,1
1736849255,-7,-17,1
1736849256,-1,-21,1
1736849256,1,-40,1
1736849256,1,-40,1
1736849256,0,-44,1
1736849256,-1,-41,1
1736849257,-4,-31,1
1736849257,-4,-21,1
1736849257,-3,-31,1
1736849257,-2,-45,1
1736849257,-1,-44,1
1736849258,-1,-39,1
1736849258,-2,-39,1
1736849258,-2,-37,1
1736849258,-1,-27,1
1736849258,3,-15,1
1736849259,2,-32,1
1736849259,1,-35,1
1736849259,1,-21,1
1736849259,-1,-24,1
1736849259,-2,-14,1
1736849260,2,0,1
1736849260,7,2,1
1736849260,8,-3,1
1736849260,7,-9,1
1736849260,4,-2,1
1736849261,1,0,1
1736849261,-1,-1,1
1736849261,-1,-9,1
1736849261,1,-7,1
1736849261,0,-2,1
1736849262,3,-5,1
1736849262,5,-18,1
1736849262,5,-13,1
1736849262,3,-3,1
1736849262,3,-11,1
1736849263,5,-18,1
1736849263,4,-6,1
1736849263,-2,-1,1
1736849263,-3,1,1
1736849263,0,-7,1
1736849264,0,-16,1
1736849264,0,-18,1
1736849264,0,-21,1
1736849264,5,-26,1
1736849264,8,-35,1
1736849713,-2,-3,1
1736849713,-2,-3,1
1736849713,-2,-3,1
1736849713,-2,-3,1
1736849713,-2,-3,1
1736849714,-2,-3,1
1736849714,-2,-3,1
1736849714,-2,-3,1
1736849714,-2,-1,1
1736849714,-3,4,1
1736849715,-3,-16,1
1736849715,1,-7,1
1736849715,4,-3,1
1736849715,-10,-7,1
1736849715,-19,-4,1
1736849716,-20,0,1
1736849716,-21,5,1
1736849716,-22,9,1
1736849716,-11,-12,1
1736849716,-12,-5,1
1736849717,-13,-15,1
1736849717,-10,-5,1
1736849717,-9,-9,1
1736849717,-10,-8,1
1736849717,-12,-9,1
1736849718,-10,-14,1
1736849748,-2,-2,2
1736849748,-2,-2,2
1736849748,-2,-2,2
1736849748,-4,-3,2
1736849748,-8,-1,2
1736849749,-11,-4,2
1736849749,-8,-5,2
1736849749,-10,-3,2
1736849749,-12,-1,2
1736849749,-9,-3,2
1736849750,-12,-1,2
1736849750,-8,-4,2
1736849750,-8,-5,2
1736849750,-8,-5,2
1736849750,-10,-3,2
1736849751,-14,0,2
1736849751,-14,1,2
1736849751,-12,1,2
1736849751,-9,1,2
1736849751,-10,1,2
1736849752,-11,2,2
1736849752,-12,0,2
1736849752,-12,-1,2
1736849752,-11,-2,2
1736849752,-11,0,2
1736849753,-12,3,2
1736849753,-13,3,2
1736849753,-10,-1,2
1736849753,-17,2,2
1736849753,-24,6,2
1736849754,-21,4,2
1736849754,-14,-1,2
1736849754,-9,-3,2
1736849754,-9,-3,2
1736849754,-10,-2,2
1736849755,-16,2,2
1736849755,-20,2,2
1736849755,-19,1,2
1736849755,-14,-2,2
1736849755,-13,0,2
1736849756,-13,-3,2
1736849756,-14,-2,2
1736849756,-12,-5,2
1736849756,-12,-5,2
1736849756,-11,-5,2
1736849757,-11,-4,2
1736849757,-12,-2,2
1736849757,-14,0,2
1736849757,-14,-1,2
1736849757,-20,1,2
1736849758,-27,8,2
1736849758,-24,5,2
1736849758,-20,2,2
1736849758,-20,6,2
1736849758,-19,12,2
1736849759,-19,23,2
1736849759,-18,19,2
1736849759,-13,16,2
1736849759,-11,16,2
1736849759,-15,16,2
1736849760,-25,16,2
1736849760,-32,17,2
1736849760,-31,16,2
1736849760,-24,17,2
1736849760,-16,17,2
1736849761,-14,16,2
1736849761,-24,13,2
1736849761,-33,12,2
1736849761,-32,13,2
1736849761,-26,14,2
1736849762,-21,15,2
1736849762,-19,14,2
1736849762,-26,14,2
1736849762,-33,16,2
1736849762,-31,15,2
1736849763,-26,14,2
1736849763,-26,15,2
1736849763,-25,13,2
1736849763,-25,13,2
